id;usuario;rol
37;usuario23a;Operator
35;usuario21a;"Operador basico"
29;usuario240a;Admin
27;usuario210a;"Operador basico"
31;usuario22a;"Operador avanzado"
33;usuario24a;Admin
40;usuario1a;"Operador basico"
39;usuario25a;"Super admin"
2;solverpay;"Super admin"
18;usuario24a;Admin
21;usuario220a;"Operador avanzado"
22;usuario230a;"Operador basico"
16;usuario22a;"Operador avanzado"
19;usuario25a;"Super admin"
25;ggg;"Operador avanzado"
8;usuario1a;"Operador basico"
9;usuario2a;"Operador basico"
10;usuario3a;"Operador basico"
7;usuario5;"Operador basico"
5;usuario3;"Operador basico"
12;usuario5a;"Operador basico"
13;koko;"Super admin"
41;usuario2a;"Operador basico"
44;usuario5a;"Operador basico"
11;usuarioQA;"Operador basico"
28;usuario230a;"Operador basico"
20;usuario210a;"Operador basico"
36;usuario22a;"Operador avanzado"
38;usuario24a;Admin
23;usuario240a;Admin
24;usuario250a;"Super admin"
34;usuario25a;Operator
14;QA_pruebas;Admin
17;usuario23a;"Operador basico"
32;usuario23a;"Operador basico"
42;usuario3a;"Operador basico"
