ID;FUC;descripción;provincia;"permite offline"
2448;031589575;"LAB F1";Valencia;Si
2026;72789431;"C/ MIGUEL SERVET";BADALONA;Si
2028;44111169;"LA HUERTONA";"SAN ANDRES DEL RABANEDO";Si
2032;44097459;"SALVADOR VICENTE MARAVILLAS";BENALMADENA;Si
2034;98102585;"EL TEULAR";ALGEMESI;Si
2044;44092385;"SANTA URSULA";"SANTA URSULA";Si
2048;72647480;"PLAZA DE LA TRIANILLA";UTRERA;Si
2049;3579141;SANTOMERA;SANTOMERA;Si
2054;8785529;"CAMINO DE SUAREZ";MALAGA;Si
2055;8732018;"CARRIL DEL CONDE";MALAGA;Si
2056;98102544;"LA UNION";"LA UNION";Si
2057;72726706;"CAMINO SAN RAFAEL";MALAGA;Si
2063;44100006;"AVDA. GIORGETA";VALENCIA;Si
2079;72841919;"AVDA. DE LAS ALBARIZAS";MARBELLA;Si
2080;98102866;"ARZOBISPO DOMENECH";ZARAGOZA;Si
2089;44104438;"DUQUESA DE TALAVERA";"ALCALA DE GUADAIRA";Si
2090;44094688;"C/ CARLOS III";CARTAGENA;Si
2095;44094647;UBRIQUE;UBRIQUE;Si
2096;72841729;"MR ANTONIA DE JESUS TIRADO";"JEREZ DE LA FRONTERA";Si
2097;72885338;L'OLLERIA;L'OLLERIA;Si
2098;72717051;"AVDA. REYES CATOLICOS";VILLARROBLEDO;Si
2099;72647464;"C/ EL CHARCO";LEGANES;Si
2102;72864853;"PASEO RUBIO I ORS";SABADELL;Si
2104;44101145;"PUENTE DE PIEDRA";ZARAGOZA;Si
2105;72822992;"CTRA. ALICON";"ROQUETAS DE MAR";Si
2109;72885346;"REPUBLICA DOMINICANA";"LAS PALMAS DE GRAN CANARIA";Si
2115;98102486;"LOS DOLORES";CARTAGENA;Si
2119;98102759;"C/ TIZIANO";"ROQUETAS DE MAR";Si
2120;72726839;"LA MOJONERA";"LA MOJONERA";Si
2125;98102957;"JUAN CARLOS I";CIEZA;Si
2127;72664402;"BEL- AIR";ESTEPONA;Si
2128;72726276;SALOBREÑA;SALOBREÑA;Si
2129;72885320;"AVDA. MEDINA OLMOS";GUADIX;Si
2133;44109866;"LA POBLA DE VALLBONA";"LA POBLA DE VALLBONA";Si
2134;72892854;SABINILLAS;MANILVA;Si
2135;72864887;"C/ DEL CARMEN";GIRONA;Si
2137;44097400;"EL CAMPELLO PUEBLO";"EL CAMPELLO";Si
2138;98103039;"C/ LACY";SABADELL;Si
2139;72826613;"HUERTA PLEY";"PUERTO REAL";Si
2140;44101947;"LA GARRIGA";"LA GARRIGA";Si
2066;97223366;"LA NORIA";MURCIA;Si
2004;98102296;"C.C. PONT DE LA BARCA";GIRONA;Si
2007;72295843;CALZADA;ANTEQUERA;Si
2010;99001422;"AVDA. DEL PARQUE";LUCENA;Si
2072;97223366;"LA NORIA";MURCIA;Si
